Date,Community,Year,Month,Day,Hour,Minute,Age,Sex,Race,Latitude,Longitude,Location,ZIP_CODE
2009-01-03 18:04:00,South Shore,2009,1,3,18,4,40-49,M,BLK,41.77116049999999,-87.57377,POINT (-87.57377 41.7711605),60649.0
2009-02-08 02:15:00,Englewood,2009,2,8,2,15,20-29,M,BLK,41.76132690414193,-87.65415905869924,POINT (-87.654159058699 41.761326904142),60621.0
2009-02-08 21:49:00,West Englewood,2009,2,8,21,49,40-49,M,BLK,41.77989690414193,-87.66139094130077,POINT (-87.661390941301 41.779896904142),60636.0
2009-02-13 21:38:00,Austin,2009,2,13,21,38,30-39,M,BLK,41.88694165414193,-87.75574465387966,POINT (-87.75574465388 41.886941654142),60644.0
2009-02-13 21:38:00,Austin,2009,2,13,21,38,20-29,M,BLK,41.88694165414193,-87.75574465387966,POINT (-87.75574465388 41.886941654142),60644.0
2009-02-18 14:00:00,West Englewood,2009,2,18,14,0,0-19,M,BLK,41.78830165414193,-87.66280534612034,POINT (-87.66280534612 41.788301654142),60636.0
2009-02-23 14:32:00,Austin,2009,2,23,14,32,30-39,M,BLK,41.8946105,-87.75546,POINT (-87.75546 41.8946105),60651.0
2009-02-25 13:41:00,Austin,2009,2,25,13,41,20-29,M,BLK,41.88483309585807,-87.76512094130076,POINT (-87.765120941301 41.884833095858),60644.0
2009-02-25 21:13:00,West Englewood,2009,2,25,21,13,20-29,M,BLK,41.7899905,-87.6622,POINT (-87.6622 41.7899905),60636.0
2009-03-03 00:01:00,Austin,2009,3,3,0,1,30-39,M,BLK,41.87987309585807,-87.76321094130077,POINT (-87.763210941301 41.879873095858),60644.0
2009-03-15 21:58:00,Austin,2009,3,15,21,58,0-19,M,BLK,41.90779834585807,-87.75351534612034,POINT (-87.75351534612 41.907798345858),60651.0
2009-03-17 10:30:00,North Lawndale,2009,3,17,10,30,40-49,M,BLK,41.85636165414193,-87.71694534612034,POINT (-87.71694534612 41.856361654142),60623.0
2009-04-01 06:00:00,Englewood,2009,4,1,6,0,40-49,F,BLK,41.76976834585807,-87.64753534612034,POINT (-87.64753534612 41.769768345858),60621.0
2009-04-02 02:52:00,Austin,2009,4,2,2,52,40-49,M,WWH,41.90640966894669,-87.77398854747082,POINT (-87.773988547471 41.906409668947),60651.0
2009-04-03 15:50:00,Austin,2009,4,3,15,50,20-29,M,BLK,41.90157690414193,-87.76194094130076,POINT (-87.761940941301 41.901576904142),60651.0
2009-04-19 14:45:00,Humboldt Park,2009,4,19,14,45,40-49,M,WWH,41.90339309585807,-87.71005094130076,POINT (-87.710050941301 41.903393095858),60651.0
2009-04-19 14:50:00,Austin,2009,4,19,14,50,20-29,M,BLK,41.89962165414193,-87.77466534612034,POINT (-87.77466534612 41.899621654142),60651.0
2009-04-22 10:41:00,Humboldt Park,2009,4,22,10,41,20-29,M,WWH,41.89800834585807,-87.73603465387966,POINT (-87.73603465388 41.898008345858),60651.0
2009-04-22 17:47:00,Humboldt Park,2009,4,22,17,47,30-39,M,BLK,41.90014690414193,-87.71782905869924,POINT (-87.717829058699 41.900146904142),60651.0
2009-04-22 21:37:00,Englewood,2009,4,22,21,37,20-29,M,BLK,41.7657205,-87.64794,POINT (-87.64794 41.7657205),60621.0
2009-04-23 22:30:00,Austin,2009,4,23,22,30,20-29,M,BLK,41.90618165414193,-87.77400465387966,POINT (-87.77400465388 41.906181654142),60651.0
2009-04-27 01:20:00,South Shore,2009,4,27,1,20,20-29,M,BLK,41.75397966894668,-87.56354854747082,POINT (-87.563548547471 41.753979668947),60649.0
2009-04-28 20:45:00,Englewood,2009,4,28,20,45,20-29,M,BLK,41.79394834585807,-87.64930465387965,POINT (-87.64930465388 41.793948345858),60621.0
2009-04-30 00:41:00,Austin,2009,4,30,0,41,0-19,M,BLK,41.8944005,-87.75966,POINT (-87.75966 41.8944005),60651.0
2009-05-03 14:54:00,South Shore,2009,5,3,14,54,40-49,M,BLK,41.75873834585807,-87.55791534612034,POINT (-87.55791534612 41.758738345858),60649.0
2009-05-05 00:22:00,Englewood,2009,5,5,0,22,20-29,M,BLK,41.78571690414193,-87.63722094130077,POINT (-87.637220941301 41.785716904142),60621.0
2009-05-13 08:08:00,Austin,2009,5,13,8,8,30-39,M,BLK,41.87431966894668,-87.76213854747083,POINT (-87.762138547471 41.874319668947),60644.0
2009-05-14 19:12:00,Austin,2009,5,14,19,12,50-59,M,WHI,41.90902690414193,-87.74572094130077,POINT (-87.745720941301 41.909026904142),60651.0
2009-05-16 01:30:00,North Lawndale,2009,5,16,1,30,0-19,M,BLK,41.85327309585807,-87.72074905869923,POINT (-87.720749058699 41.853273095858),60623.0
2009-05-16 02:21:00,Austin,2009,5,16,2,21,30-39,M,BLK,41.86963690414194,-87.74683905869924,POINT (-87.746839058699 41.869636904142),60644.0
2009-05-17 00:29:00,Austin,2009,5,17,0,29,0-19,M,BLK,41.90921165414193,-87.75438465387965,POINT (-87.75438465388 41.909211654142),60651.0
2009-05-17 20:30:00,South Shore,2009,5,17,20,30,70-79,M,BLK,41.76083165414193,-87.57219465387966,POINT (-87.57219465388 41.760831654142),60649.0
2009-05-21 23:09:00,Austin,2009,5,21,23,9,30-39,M,BLK,41.90885165414193,-87.75499534612034,POINT (-87.75499534612 41.908851654142),60651.0
2009-05-23 17:35:00,Englewood,2009,5,23,17,35,20-29,M,BLK,41.78677966894669,-87.65437854747083,POINT (-87.654378547471 41.786779668947),60621.0
2009-05-23 20:50:00,North Lawndale,2009,5,23,20,50,20-29,M,BLK,41.86771834585807,-87.72074534612034,POINT (-87.72074534612 41.867718345858),60624.0
2009-05-28 16:43:00,West Englewood,2009,5,28,16,43,40-49,M,BLK,41.78828690414193,-87.66189094130077,POINT (-87.661890941301 41.788286904142),60636.0
2009-05-31 05:55:00,Humboldt Park,2009,5,31,5,55,30-39,M,BLK,41.9006005,-87.7335,POINT (-87.7335 41.9006005),60651.0
2009-05-31 05:55:00,Humboldt Park,2009,5,31,5,55,30-39,M,BLK,41.9006005,-87.7335,POINT (-87.7335 41.9006005),60651.0
2009-06-01 00:12:00,West Englewood,2009,6,1,0,12,20-29,M,WWH,41.78387165414193,-87.66825534612035,POINT (-87.66825534612 41.783871654142),60636.0
2009-06-03 22:14:00,Austin,2009,6,3,22,14,20-29,M,BLK,41.89133834585807,-87.77162534612035,POINT (-87.77162534612 41.891338345858),60644.0
2009-06-09 17:12:00,North Lawndale,2009,6,9,17,12,20-29,M,BLK,41.86279690414193,-87.73323094130077,POINT (-87.733230941301 41.862796904142),60623.0
2009-06-17 13:40:00,West Englewood,2009,6,17,13,40,20-29,M,BLK,41.79029165414193,-87.66561465387966,POINT (-87.66561465388 41.790291654142),60636.0
2009-06-18 00:50:00,Austin,2009,6,18,0,50,20-29,M,BLK,41.88942834585807,-87.75018465387966,POINT (-87.75018465388 41.889428345858),60644.0
2009-06-19 00:37:00,South Shore,2009,6,19,0,37,20-29,M,BLK,41.7539905,-87.56493,POINT (-87.56493 41.7539905),60649.0
2009-06-19 17:00:00,North Lawndale,2009,6,19,17,0,0-19,M,BLK,41.86327165414193,-87.70278465387966,POINT (-87.70278465388 41.863271654142),60623.0
2009-06-21 02:05:00,Austin,2009,6,21,2,5,20-29,M,BLK,41.90072309585807,-87.76293094130077,POINT (-87.762930941301 41.900723095858),60651.0
2009-06-21 05:38:00,North Lawndale,2009,6,21,5,38,30-39,M,BLK,41.85745690414193,-87.72749905869924,POINT (-87.727499058699 41.857456904142),60623.0
2009-06-23 19:00:00,Englewood,2009,6,23,19,0,40-49,M,BLK,41.78217690414193,-87.63309905869923,POINT (-87.633099058699 41.782176904142),60621.0
2009-06-26 03:40:00,Austin,2009,6,26,3,40,20-29,F,BLK,41.90560165414193,-87.75396534612034,POINT (-87.75396534612 41.905601654142),60651.0
2009-06-26 21:40:00,North Lawndale,2009,6,26,21,40,0-19,M,BLK,41.85525834585807,-87.71095465387965,POINT (-87.71095465388 41.855258345858),60623.0
2009-07-03 12:47:00,West Englewood,2009,7,3,12,47,0-19,M,BLK,41.76285309585807,-87.65932905869923,POINT (-87.659329058699 41.762853095858),60636.0
2009-07-04 23:49:00,Englewood,2009,7,4,23,49,20-29,M,BLK,41.78861165414193,-87.64316534612034,POINT (-87.64316534612 41.788611654142),60621.0
2009-07-05 00:25:00,Englewood,2009,7,5,0,25,20-29,M,BLK,41.7770805,-87.64852,POINT (-87.64852 41.7770805),60621.0
2009-07-05 16:23:00,West Englewood,2009,7,5,16,23,20-29,M,BLK,41.78453690414193,-87.67030094130077,POINT (-87.670300941301 41.784536904142),60636.0
2009-07-06 00:45:00,West Englewood,2009,7,6,0,45,30-39,M,BLK,41.76198165414193,-87.65726534612034,POINT (-87.65726534612 41.761981654142),60636.0
2009-07-09 11:58:00,Austin,2009,7,9,11,58,0-19,M,BLK,41.89261309585807,-87.74982094130077,POINT (-87.749820941301 41.892613095858),60644.0
2009-07-10 01:20:00,South Shore,2009,7,10,1,20,20-29,M,BLK,41.76207834585807,-87.59025534612034,POINT (-87.59025534612 41.762078345858),60619.0
2009-07-16 00:03:00,Englewood,2009,7,16,0,3,0-19,M,BLK,41.77749834585807,-87.63683534612034,POINT (-87.63683534612 41.777498345858),60621.0
