"community_area","year","weapons_incidents","weapons_arrests"
"1","2009","49","38"
"1","2010","50","32"
"1","2011","43","36"
"1","2012","73","58"
"1","2013","56","42"
"1","2014","40","30"
"1","2015","29","21"
"1","2016","34","17"
"1","2017","36","24"
"1","2018","29","22"
"1","2019","31","14"
"1","2020","33","16"
"1","2021","47","30"
"1","2022","56","40"
"1","2023","48","30"
"2","2009","25","16"
"2","2010","26","11"
"2","2011","33","26"
"2","2012","18","13"
"2","2013","28","23"
"2","2014","26","18"
"2","2015","33","21"
"2","2016","34","18"
"2","2017","23","13"
"2","2018","32","16"
"2","2019","24","15"
"2","2020","31","16"
"2","2021","31","20"
"2","2022","51","19"
"2","2023","40","22"
"3","2009","25","21"
"3","2010","26","14"
"3","2011","33","26"
"3","2012","44","39"
"3","2013","23","17"
"3","2014","21","16"
"3","2015","21","15"
"3","2016","25","10"
"3","2017","23","17"
"3","2018","27","20"
"3","2019","34","26"
"3","2020","27","20"
"3","2021","29","23"
"3","2022","36","25"
"3","2023","32","26"
"4","2009","9","8"
"4","2010","12","7"
"4","2011","9","6"
"4","2012","11","11"
"4","2013","7","6"
"4","2014","9","7"
"4","2015","10","9"
"4","2016","17","4"
"4","2017","9","6"
"4","2018","9","5"
"4","2019","6","3"
"4","2020","6","1"
"4","2021","10","4"
"4","2022","15","9"
"4","2023","11","10"
"5","2009","6","4"
"5","2010","13","9"
"5","2011","4","4"
"5","2012","4","4"
"5","2013","6","4"
"5","2014","2","1"
"5","2015","1","1"
"5","2016","5","1"
"5","2017","4","2"
"5","2018","3","3"
"5","2019","5","3"
"5","2020","5","0"
"5","2021","8","5"
"5","2022","7","1"
"5","2023","6","4"
"6","2009","12","11"
"6","2010","10","6"
"6","2011","18","18"
"6","2012","24","22"
"6","2013","10","9"
"6","2014","13","13"
"6","2015","13","12"
"6","2016","20","15"
"6","2017","11","9"
"6","2018","12","9"
"6","2019","13","9"
"6","2020","7","6"
"6","2021","25","16"
"6","2022","41","25"
"6","2023","19","16"
"7","2009","11","7"
"7","2010","5","2"
"7","2011","2","1"
"7","2012","4","4"
"7","2013","7","7"
"7","2014","7","6"
"7","2015","6","5"
"7","2016","6","5"
"7","2017","6","4"
"7","2018","13","10"
"7","2019","10","8"
"7","2020","11","9"
"7","2021","23","19"
"7","2022","36","29"
"7","2023","22","18"
"8","2009","35","26"
"8","2010","41","31"
"8","2011","31","28"
"8","2012","28","21"
"8","2013","27","23"
"8","2014","30","25"
"8","2015","28","24"
"8","2016","38","29"
"8","2017","27","22"
"8","2018","42","32"
"8","2019","71","53"
"8","2020","171","156"
"8","2021","286","256"
"8","2022","230","211"
"8","2023","246","235"
"9","2009","1","1"
"9","2015","1","0"
"9","2017","1","1"
"9","2020","1","1"
"9","2022","1","0"
"10","2009","8","6"
"10","2010","4","4"
"10","2011","1","0"
"10","2012","3","2"
"10","2013","7","5"
"10","2014","1","1"
"10","2015","4","2"
"10","2017","4","2"
"10","2018","3","3"
"10","2019","1","1"
"10","2020","3","1"
"10","2021","7","2"
"10","2022","5","2"
"10","2023","7","5"
"11","2009","2","2"
"11","2010","2","2"
"11","2011","3","2"
"11","2012","5","4"
"11","2013","7","5"
"11","2014","11","8"
"11","2015","5","2"
"11","2016","3","2"
"11","2017","4","3"
"11","2018","4","2"
"11","2019","4","1"
"11","2020","2","0"
"11","2021","2","2"
"11","2022","6","3"
"11","2023","8","4"
"12","2009","2","1"
"12","2010","1","1"
"12","2013","2","2"
"12","2014","2","2"
"12","2016","1","0"
"12","2017","4","2"
"12","2018","1","0"
"12","2019","1","1"
"12","2020","3","0"
"12","2021","11","1"
"12","2022","6","2"
"12","2023","6","1"
"13","2009","6","4"
"13","2010","9","6"
"13","2011","6","5"
"13","2012","7","6"
"13","2013","3","3"
"13","2014","8","6"
"13","2015","3","0"
"13","2016","6","4"
"13","2017","4","2"
"13","2018","10","6"
"13","2019","5","1"
"13","2020","8","0"
"13","2021","14","6"
"13","2022","9","4"
"13","2023","7","1"
"14","2009","21","19"
"14","2010","27","20"
"14","2011","23","23"
"14","2012","32","28"
"14","2013","14","12"
"14","2014","21","15"
"14","2015","23","14"
"14","2016","17","9"
"14","2017","23","14"
"14","2018","31","10"
"14","2019","46","20"
"14","2020","53","19"
"14","2021","43","13"
"14","2022","50","17"
"14","2023","44","28"
"15","2009","33","28"
"15","2010","33","26"
"15","2011","24","20"
"15","2012","23","19"
"15","2013","32","26"
"15","2014","21","18"
"15","2015","24","21"
"15","2016","19","12"
"15","2017","17","10"
"15","2018","36","18"
"15","2019","29","14"
"15","2020","38","15"
"15","2021","44","19"
"15","2022","44","22"
"15","2023","42","24"
"16","2009","26","25"
